Phi,O/F,Tc,Tt,Te,Rho_exit,H (kJ/kg),U (kJ/kg),Molar Mass,Cp_exit,Gamma_exit,SonicVel,Mach_exit,Ae/At,C*,CF,Ivac,Isp,Ar,CH4,CO,CO2,H,H2,H2O,NH3,NO,NO2,N2,O,OH,O2,Ivac(sec),Isp(sec)
1.65,20.78559,2052.69,1812.92,655.46,3.81E-01,-2804.71,-3070.34,20.517,1.6014,1.3459,597.9,3.744,12.025,1381.3,1.6208,2357.5,2238.8,6.33E-03,2.11E-04,2.04E-07,4.67E-06,8.18E-16,1.82E-01,2.84E-01,9.88E-04,0.00E+00,0.00E+00,5.27E-01,0.00E+00,7.09E-20,0.00E+00,240.3160041,228.216106
1.66,20.66038,2048.24,1808.75,653.44,3.82E-01,-2805.8,-3071.27,20.465,1.606,1.346,597.8,3.745,12.017,1381.5,1.6206,2357.4,2238.8,6.31E-03,2.11E-04,1.73E-07,3.99E-06,7.26E-16,1.84E-01,2.83E-01,1.04E-03,0.00E+00,0.00E+00,5.26E-01,0.00E+00,5.98E-20,0.00E+00,240.3058104,228.216106
1.67,20.53666,2043.81,1804.61,651.43,3.82E-01,-2803.88,-3072.2,20.415,1.6108,1.3461,597.6,3.746,12.009,1381.6,1.6204,2357.3,2238.8,6.29E-03,2.11E-04,1.47E-07,3.41E-06,6.45E-16,1.86E-01,2.82E-01,1.08E-03,0.00E+00,0.00E+00,5.24E-01,0.00E+00,5.05E-50,0.00E+00,240.2956167,228.216106
1.68,20.41442,2039.39,1800.48,649.43,3.82E-01,-2807.96,-3073.12,20.361,1.6157,1.3462,597.5,3.747,12,1381.8,1.6202,2357.2,2238.7,6.28E-03,2.11E-04,1.25E-07,2.92E-06,5.72E-16,1.88E-01,2.81E-01,1.14E-03,0.00E+00,0.00E+00,5.23E-01,0.00E+00,4.27E-20,0.00E+00,240.285423,228.2059123
1.69,20.29362,2034.99,1796.37,647.45,3.82E-01,-2809.03,-3074.03,20.314,1.6207,1.3463,597.3,3.748,11.992,1381.9,1.62,2357.1,2238.7,6.26E-03,2.11E-04,1.06E-07,2.50E-06,5.08E-16,1.91E-01,2.80E-01,1.19E-03,0.00E+00,0.00E+00,5.21E-01,0.00E+00,3.61E-20,0.00E+00,240.2752294,228.2059123
1.7,20.17425,2030.62,1792.28,645.48,3.83E-01,-2810.1,-3074.95,20.264,1.6258,1.3463,597.1,3.749,11.984,1382,1.6198,2357,2238.7,6.24E-03,2.10E-04,9.03E-08,2.14E-06,4.51E-16,1.93E-01,2.80E-01,1.24E-03,0.00E+00,0.00E+00,5.20E-01,0.00E+00,3.05E-20,0.00E+00,240.2650357,228.2059123
1.71,20.05627,2026.26,1788.21,643.53,3.83E-01,-2811.16,-3075.86,20.214,1.6311,1.3464,597,3.75,11.977,1382.2,1.6196,2356.9,2238.6,6.23E-03,2.10E-04,7.69E-08,1.84E-06,4.01E-16,1.95E-01,2.79E-01,1.30E-03,0.00E+00,0.00E+00,5.18E-01,0.00E+00,2.58E-20,0.00E+00,240.254842,228.1957187
1.72,19.93967,2021.92,1784.15,641.59,3.83E-01,-2812.23,-3076.77,20.165,1.6365,1.3464,596.8,3.751,11.969,1382.3,1.6195,2356.8,2238.6,6.21E-03,2.10E-04,6.55E-08,1.58E-06,3.56E-16,1.97E-01,2.78E-01,1.36E-03,0.00E+00,0.00E+00,5.17E-01,0.00E+00,2.18E-20,0.00E+00,240.2446483,228.1957187
1.73,19.82441,2017.6,1780.12,639.67,3.83E-01,-2813.28,-3077.67,20.116,1.6421,1.3464,596.6,3.752,11.961,1382.4,1.6193,2356.6,2238.5,6.19E-03,2.09E-04,5.58E-08,1.36E-06,3.16E-16,1.99E-01,2.77E-01,1.42E-03,0.00E+00,0.00E+00,5.16E-01,0.00E+00,1.84E-20,0.00E+00,240.224261,228.185525
1.74,19.71047,2013.3,1776.1,637.77,3.83E-01,-2814.33,-3078.58,20.067,1.6478,1.3464,596.5,3.753,11.953,1382.6,1.6191,2356.5,2238.5,6.17E-03,2.09E-04,4.76E-08,1.17E-06,2.81E-16,2.01E-01,2.77E-01,1.48E-03,0.00E+00,0.00E+00,5.14E-01,0.00E+00,1.56E-20,0.00E+00,240.2140673,228.185525
1.75,19.59784,2009.02,1772.1,635.88,3.84E-01,-2815.38,-3079.48,20.019,1.6536,1.3463,596.3,3.754,11.946,1382.7,1.6189,2356.4,2238.4,6.16E-03,2.09E-04,4.06E-08,1.00E-06,2.49E-16,2.03E-01,2.76E-01,1.55E-03,0.00E+00,0.00E+00,5.13E-01,0.00E+00,1.32E-20,0.00E+00,240.2038736,228.1753313
1.76,19.48649,2004.75,1768.11,634,3.84E-01,-2816.42,-3080.38,19.971,1.6596,1.3463,596.1,3.755,11.939,1382.8,1.6187,2356.3,2238.4,6.14E-03,2.08E-04,3.47E-08,8.65E-07,2.22E-16,2.06E-01,2.75E-01,1.62E-03,0.00E+00,0.00E+00,5.11E-01,0.00E+00,0.00E+00,0.00E+00,240.1936799,228.1753313
1.77,19.3764,2000.51,1764.15,632.14,3.84E-01,-2817.46,-3081.27,19.923,1.6657,1.3462,595.9,3.756,11.931,1382.9,1.6185,2356.2,2238.3,6.13E-03,2.08E-04,2.97E-08,7.46E-07,1.97E-16,2.08E-01,2.74E-01,1.69E-03,0.00E+00,0.00E+00,5.10E-01,0.00E+00,0.00E+00,0.00E+00,240.1834862,228.1651376
1.78,19.26754,1996.28,1760.2,630.29,3.84E-01,-2818.5,-3082.16,19.876,1.6719,1.3461,595.8,3.757,11.924,1383.1,1.6184,2356.1,2238.3,6.11E-03,2.07E-04,2.54E-08,6.44E-07,1.75E-16,2.10E-01,2.74E-01,1.76E-03,0.00E+00,0.00E+00,5.09E-01,0.00E+00,0.00E+00,0.00E+00,240.1732926,228.1651376
1.79,19.1599,1992.07,1756.27,628.46,3.85E-01,-2819.53,-3083.05,19.829,1.6784,1.346,595.6,3.758,11.917,1383.2,1.6182,2356,2238.2,6.09E-03,2.07E-04,2.17E-08,5.56E-77,1.56E-16,2.12E-01,2.73E-01,1.84E-03,0.00E+00,0.00E+00,5.07E-01,0.00E+00,0.00E+00,0.00E+00,240.1630989,228.1549439
1.8,19.05346,1987.88,1752.36,626.65,3.85E-01,-2820.56,-3083.94,19.782,1.6849,1.3459,595.4,3.759,11.91,1383.3,1.618,2355.9,2238.2,6.08E-03,2.07E-04,1.86E-08,4.81E-07,1.39E-16,2.14E-01,2.72E-01,1.91E-03,0.00E+00,0.00E+00,5.06E-01,0.00E+00,0.00E+00,0.00E+00,240.1529052,228.1549439
1.81,18.94819,1983.7,1748.46,624.85,3.85E-01,-2821.58,-3084.83,19.736,1.6916,1.3457,595.2,3.76,11.903,1383.4,1.6178,2355.7,2238.1,6.06E-03,2.06E-04,1.60E-08,4.16E-07,1.23E-16,2.16E-01,2.72E-01,2.00E-03,0.00E+00,0.00E+00,5.04E-01,0.00E+00,0.00E+00,0.00E+00,240.1325178,228.1447503
1.82,18.84408,1979.55,1744.58,623.07,3.85E-01,-2822.61,-3085.71,19.69,1.6985,1.3456,595,3.761,11.896,1383.5,1.6176,2355.6,2238.1,6.05E-03,2.06E-04,1.37E-08,3.61E-07,1.10E-16,2.18E-01,2.71E-01,2.08E-03,0.00E+00,0.00E+00,5.03E-01,0.00E+00,0.00E+00,0.00E+00,240.1223242,228.1447503
1.83,18.74111,1975.41,1740.72,621.3,3.85E-01,-2823.62,-3086.6,19.644,1.7056,1.3454,594.8,3.763,11.889,1383.7,1.6175,2355.5,2238,6.03E-03,2.05E-04,1.18E-08,3.13E-07,9.76E-17,2.20E-01,2.70E-01,2.17E-03,0.00E+00,0.00E+00,5.02E-01,0.00E+00,0.00E+00,0.00E+00,240.1121305,228.1345566
1.84,18.63925,1971.29,1736.88,619.54,3.86E-01,-2824.64,-3087.48,19.598,1.7128,1.3451,594.6,3.764,11.883,1383.8,1.6173,2355.4,2237.9,6.01E-03,2.05E-04,1.01E-08,2.71E-07,8.69E-17,2.22E-01,2.69E-01,2.25E-03,0.00E+00,0.00E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,240.1019368,228.1243629
1.85,18.5385,1967.18,1733.05,617.8,3.86E-01,-2825.65,-3088.36,19.553,1.7202,1.3449,594.4,3.765,11.876,1383.9,1.6171,2355.3,2237.9,6.00E-03,2.04E-04,8.69E-09,2.36E-07,7.74E-17,2.24E-01,2.69E-01,2.35E-03,0.00E+00,0.00E+00,4.99E-01,0.00E+00,0.00E+00,0.00E+00,240.0917431,228.1243629
1.86,18.43883,1963.1,1729.24,616.08,3.86E-01,-2826.65,-3089.23,19.508,1.7278,1.3447,594.2,3.766,11.87,1384,1.6169,2355.2,2237.8,5.98E-03,2.04E-04,7.48E-09,2.05E-07,6.90E-17,2.26E-01,2.68E-01,2.44E-03,0.00E+00,0.00E+00,4.98E-01,0.00E+00,0.00E+00,0.00E+00,240.0815494,228.1141692
1.87,18.34023,1959.03,1725.44,614.37,3.86E-01,-2827.65,-3090.11,19.463,1.7355,1.3444,594,3.767,11.863,1384.1,1.6168,2355,2237.8,5.97E-03,2.03E-04,6.45E-09,1.78E-07,6.15E-17,2.28E-01,2.67E-01,2.54E-03,0.00E+00,0.00E+00,4.96E-01,0.00E+00,0.00E+00,0.00E+00,240.0611621,228.1141692
1.88,18.24267,1954.97,1721.66,612.68,3.86E-01,-2828.65,-3090.98,19.419,1.7435,1.3441,593.8,3.768,11.857,1384.2,1.6166,2354.9,2237.7,5.95E-03,2.03E-04,5.56E-09,1.55E-07,5.48E-17,2.30E-01,2.67E-01,2.64E-03,0.00E+00,0.00E+00,4.95E-01,0.00E+00,0.00E+00,0.00E+00,240.0509684,228.1039755
1.89,18.14615,1950.94,1717.9,611,3.86E-01,-2829.65,-3091.86,19.375,1.7516,1.3438,593.6,3.77,11.851,1384.3,1.6164,2354.8,2237.6,5.94E-03,2.02E-04,4.80E-09,1.35E-07,4.89E-17,2.31E-01,2.66E-01,2.75E-03,0.00E+00,0.00E+00,4.94E-01,0.00E+00,0.00E+00,0.00E+00,240.0407747,228.0937819
1.9,18.05065,1946.92,1714.15,609.34,3.87E-01,-2830.64,-3092,19.331,1.76,1.3434,593.4,3.771,11.845,1384.4,1.6163,2354.7,2237.6,5.92E-03,2.02E-04,4.15E-09,1.18E-07,4.36E-17,2.33E-01,2.65E-01,2.86E-03,0.00E+00,0.00E+00,4.92E-01,0.00E+00,0.00E+00,0.00E+00,240.030581,228.0937819
1.91,17.95614,1942.92,1710.42,607.69,3.87E-01,-2831.63,-3093.6,19.288,1.7685,1.3431,593.2,3.772,11.839,1384.5,1.6161,2354.6,2237.5,5.91E-03,2.01E-04,3.58E-09,1.03E-07,3.89E-17,2.35E-01,2.65E-01,2.97E-03,0.00E+00,0.00E+00,4.91E-01,0.00E+00,0.00E+00,0.00E+00,240.0203874,228.0835882
1.92,17.86262,1938.93,1706.71,606.06,3.87E-01,-2832.62,-3094.47,19.244,1.7773,1.3427,592.9,3.773,11.833,1384.6,1.6159,2354.4,2237.4,5.89E-03,2.01E-04,3.10E-09,9.02E-08,3.48E-17,2.37E-01,2.64E-01,3.08E-03,0.00E+00,0.00E+00,4.90E-01,0.00E+00,0.00E+00,0.00E+00,240,228.0733945
1.93,17.77007,1934.96,1703.01,604.44,3.87E-01,-2833.61,-3095.34,19.202,1.7862,1.3423,592.7,3.775,11.828,1384.7,1.6158,2354.3,2237.3,5.88E-03,2.00E-04,2.69E-09,7.89E-08,3.11E-17,2.39E-01,2.63E-01,3.20E-03,0.00E+00,0.00E+00,4.88E-01,0.00E+00,0.00E+00,0.00E+00,239.9898063,228.0632008
1.94,17.67847,1931.01,1699.32,602.84,3.87E-01,-2834.59,-3096.21,19.159,1.7954,1.3419,592.5,3.776,11.822,1384.8,1.6156,2354.2,2237.3,5.86E-03,2.00E-04,2.33E-09,6.91E-08,2.78E-17,2.41E-01,2.63E-01,3.32E-03,0.00E+00,0.00E+00,4.87E-01,0.00E+00,0.00E+00,0.00E+00,239.9796126,228.0632008
1.95,17.58781,1927.07,1695.66,601.26,3.87E-01,-2835.56,-3097.07,19.117,1.8048,1.3414,592.3,3.777,11.817,1384.9,1.6154,2354.1,2237.2,5.85E-03,1.99E-04,2.02E-09,6.06E-08,2.48E-17,2.43E-01,2.62E-01,3.45E-03,0.00E+00,0.00E+00,4.86E-01,0.00E+00,0.00E+00,0.00E+00,239.969419,228.0530071
1.96,17.49807,1923.15,1692,599.69,3.88E-01,-2836.54,-3097.94,19.075,1.8144,1.341,592.1,3.779,11.811,1385,1.6153,2354,2237.1,5.83E-03,1.99E-04,1.75E-09,5.32E-08,2.22E-17,2.44E-01,2.61E-01,3.58E-03,0.00E+00,0.00E+00,4.85E-01,0.00E+00,0.00E+00,0.00E+00,239.9592253,228.0428135
1.97,17.40925,1919.25,1688.37,598.13,3.88E-01,-2837.51,-3091.81,19.033,1.8243,1.3405,591.8,3.78,11.803,1385.1,1.6151,2353.9,2237,5.82E-03,1.98E-04,1.53E-09,4.67E-08,1.99E-17,2.46E-01,2.62E-01,3.71E-03,0.00E+00,0.00E+00,4.83E-01,0.00E+00,0.00E+00,0.00E+00,239.9490316,228.0326198
1.98,17.32133,1915.36,1684.75,596.59,3.88E-01,-2838.48,-3099.67,18.992,1.8344,1.3399,591.6,3.781,11.801,1385.2,1.6149,2353.7,2237,5.81E-03,1.98E-04,1.33E-09,4.11E-08,1.78E-17,2.48E-01,2.60E-01,3.84E-03,0.00E+00,0.00E+00,4.82E-01,0.00E+00,0.00E+00,0.00E+00,239.9286442,228.0326198
1.99,17.23428,1911.49,1681.14,595.07,3.88E-01,-2839.45,-3100.54,18.95,1.8447,1.3394,591.4,3.783,11.796,1385.3,1.6148,2353.6,2236.9,5.79E-03,1.97E-04,1.16E-09,3.62E-08,1.59E-17,2.50E-01,2.59E-01,3.99E-03,0.00E+00,0.00E+00,4.81E-01,0.00E+00,0.00E+00,0.00E+00,239.9184506,228.0224261
2,17.14811,1907.63,1677.55,593.56,3.88E-01,-2840.41,-3101.4,18.91,1.8553,1.3389,591.1,3.784,11.791,1385.4,1.6146,2353.5,2236.8,5.78E-03,1.97E-04,1.01E-09,3.18E-08,1.43E-17,2.51E-01,2.59E-01,4.13E-03,0.00E+00,0.00E+00,4.80E-01,0.00E+00,0.00E+00,0.00E+00,239.9082569,228.0122324
2.01,17.0628,1903.79,1673.97,592.07,3.88E-01,-2841.38,-3102.27,18.869,1.8661,1.3383,590.9,3.785,11.786,1385.4,1.6145,2353.4,2236.7,5.76E-03,1.96E-04,8.78E-10,2.81E-08,1.28E-17,2.53E-01,2.58E-01,4.28E-03,0.00E+00,0.00E+00,4.78E-01,0.00E+00,0.00E+00,0.00E+00,239.8980632,228.0020387
2.02,16.97833,1899.97,1670.41,590.59,3.89E-01,-2842.33,-3103.13,18.829,1.8771,1.3377,590.6,3.787,11.782,1385.5,1.6143,2353.3,2236.7,5.75E-03,1.96E-04,7.67E-10,2.48E-08,1.15E-17,2.55E-01,2.58E-01,4.43E-03,0.00E+00,0.00E+00,4.77E-01,0.00E+00,0.00E+00,0.00E+00,239.8878695,228.0020387
2.03,16.89469,1896.16,1666.87,589.13,3.89E-01,-2843.29,-3104,18.789,1.8885,1.3371,590.4,3.788,11.777,1385.6,1.6141,2353.1,2236.6,5.74E-03,1.95E-04,6.70E-10,2.19E-08,1.03E-17,2.57E-01,2.57E-01,4.59E-03,0.00E+00,0.00E+00,4.76E-01,0.00E+00,0.00E+00,0.00E+00,239.8674822,227.9918451
2.04,16.81188,1892.36,1663.33,587.68,3.89E-01,-2844.25,-3104.86,18.749,1.9001,1.3364,590.2,3.79,11.773,1385.7,1.614,2353,2236.5,5.72E-03,1.95E-04,5.87E-10,1.94E-08,9.27E-18,2.58E-01,2.56E-01,4.75E-03,0.00E+00,0.00E+00,4.75E-01,0.00E+00,0.00E+00,0.00E+00,239.8572885,227.9816514
2.05,16.72987,1888.58,1659.82,586.25,3.89E-01,-2845.2,-3105.73,18.71,1.9119,1.3357,589.9,3.791,11.769,1385.8,1.6138,2352.9,2236.4,5.71E-03,1.94E-04,5.14E-10,1.71E-08,8.33E-18,2.60E-01,2.56E-01,4.91E-03,0.00E+00,0.00E+00,4.73E-01,0.00E+00,0.00E+00,0.00E+00,239.8470948,227.9714577
2.06,16.64865,1884.82,1656.31,584.83,3.89E-01,-2846.15,-3106.59,18.67,1.924,1.3351,589.7,3.793,11.765,1385.9,1.6137,2352.8,2236.3,5.69E-03,1.94E-04,4.50E-10,1.52E-08,7.49E-18,2.62E-01,2.55E-01,5.08E-03,0.00E+00,0.00E+00,4.72E-01,0.00E+00,0.00E+00,0.00E+00,239.8369011,227.961264
2.07,16.56822,1881.07,1652.83,583.43,3.89E-01,-2847.1,-3107.46,18.632,1.9364,1.3344,589.4,3.794,11.761,1385.9,1.6135,2352.7,2236.3,5.68E-03,1.94E-04,3.95E-10,1.35E-08,6.74E-18,2.63E-01,2.55E-01,5.25E-03,0.00E+00,0.00E+00,4.71E-01,0.00E+00,0.00E+00,0.00E+00,239.8267074,227.961264
2.08,16.48857,1877.33,1649.35,582.04,3.89E-01,-2848.04,-3108.32,18.593,1.9491,1.3336,589.2,3.795,11.757,1386,1.6134,2352.6,2236.2,5.67E-03,1.93E-04,3.47E-10,1.19E-08,3.07E-18,2.65E-01,2.54E-01,5.43E-03,0.00E+00,0.00E+00,4.70E-01,0.00E+00,0.00E+00,0.00E+00,239.8165138,227.9510703
2.09,16.40968,1873.62,1645.89,580.67,3.89E-01,-2848.99,-3109.19,18.555,1.962,1.332,588.9,3.797,11.753,1386.1,1.6132,2352.4,2236.1,5.65E-03,1.93E-04,3.05E-10,1.06E-08,5.47E-18,2.67E-01,2.53E-01,5.61E-03,0.00E+00,0.00E+00,4.69E-01,0.00E+00,0.00E+00,0.00E+00,239.7961264,227.9408767
2.1,16.33154,1869.91,1642.45,579.31,3.90E-01,-2849.93,-3110.06,18.517,1.9753,1.3321,588.7,3.798,11.75,1386.2,1.6131,2352.3,2236,5.64E-03,1.92E-04,2.68E-10,9.44E-09,4.93E-18,2.68E-01,2.53E-01,5.80E-03,0.00E+00,0.00E+00,4.67E-01,0.00E+00,0.00E+00,0.00E+00,239.7859327,227.930683
